0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
41.13,126.46,168.44,171.86,173.81,174.77,175.1,175.18,175.23,175.18
49.35,154.32,232.06,247.82,250.35,251.38,251.74,251.77,251.77,251.77
0,145.21,245.96,268.1,274.08,276.25,277.05,277.12,277.1,277.07
-16.45,117.35,288.44,330.1,346.63,352.29,354.4,354.59,354.55,354.4
-24.68,78.29,278.01,345.45,367.46,377.44,382.32,383.45,384.2,391.51
-27.97,42.77,246.75,351.59,388.29,402.59,410.23,412.31,413.85,424.41
-33.51,16.45,195.49,338.42,394.8,427.7,432.64,437.57,442.51,453.42
-42.07,-10.64,135.08,302.54,398.09,443.64,455.67,463.99,468.83,477.05
-50.08,-25.19,93.73,255.06,387.36,448.48,473.93,480.34,490.21,498.44
-57.14,-36.65,62.58,203.53,371.29,444.15,477.05,490.21,500.08,509.95
-64.08,-46.7,39.02,160.4,334.05,430.99,478.7,493.5,505.02,514.89
-71.06,-56.01,19.61,126.98,289.7,413.12,473.76,491.86,503.37,509.95
-78.44,-65.43,0.46,95.46,249.64,394.29,465.54,481.99,493.5,503.27
-86.11,-74.79,-16.57,68.44,207.81,366.08,452.38,468.83,485.28,493.5
-94.28,-84.03,-31.71,44.85,170.57,330.59,435.93,452.38,468.83,477.05
-102.47,-93.46,-45.75,24,138.78,293.42,410.15,426.06,448.04,452.77
-111.65,-103.3,-59.35,4.69,109.99,254.69,367.91,393,404.78,409.44
-121.65,-113.67,-72.91,-13.57,83.71,217.11,322.13,345.48,356.46,360.66
-133.25,-133.25,-133.25,-133.25,-133.25,-133.25,-133.25,-133.25,-133.25,-133.25
-134.89,-134.89,-134.89,-134.89,-134.89,-134.89,-134.89,-134.89,-134.89,-134.89
